4,22
4,44
4,52
4,73
44,4
41,19
41,82
40,2
40,53
40,73
40,47
40,35
40,13
61,62
61,37
49,92
49,56
49,68
49,10
49,28
24,36
24,10
24,48
24,7
24,70
24,69
88,20
88,87
88,58
88,29
88,27
88,52
88,12
1,95
1,15
18,39
32,48
32,7
32,70
32,10
12,65
46,64
46,50
46,23
46,82
46,34
46,66
6,80
6,74
6,66
6,93
6,64
6,86
6,23
6,34
6,67
6,79
6,21
6,78
27,2
27,53
27,29
27,88
27,39
2,27
2,40
2,53
2,91
92,56
92,10
92,68
92,28
92,38
14,55
14,84
14,16
14,63
14,60
14,82
14,5
14,75
23,50
23,64
23,46
23,82
23,86
23,34
23,6
23,8
23,80
22,96
22,94
22,4
22,53
22,18
22,73
17,52
17,20
17,90
17,31
17,51
17,87
17,85
17,19
71,43
71,59
71,68
8,54
8,72
8,58
8,21
8,79
8,23
76,10
76,48
47,35
47,21
47,40
47,96
47,73
47,1
47,30
47,15
47,53
47,13
93,74
93,80
93,6
93,66
96,94
96,22
96,53
96,47
96,21
96,13
80,6
80,64
80,66
80,86
80,74
80,93
80,50
80,23
80,82
80,67
77,42
77,25
77,50
77,89
77,34
67,6
67,80
67,79
67,89
67,74
67,21
70,7
70,36
70,48
70,10
70,24
70,54
70,31
39,28
39,27
39,18
25,77
25,42
25,3
25,46
25,60
25,63
25,34
25,82
25,86
11,90
11,51
31,3
72,79
72,54
72,8
72,85
72,47
34,64
34,82
34,50
34,23
34,46
34,86
34,9
34,10
34,63
34,60
34,72
34,6
34,89
34,79
34,93
98,61
98,62
42,77
42,86
42,28
42,8
42,89
42,25
30,15
74,66
74,6
74,93
74,80
74,67
54,8
54,58
54,72
69,36
69,10
69,24
69,48
69,70
66,80
66,6
66,74
66,93
66,46
64,80
64,86
64,50
64,23
64,46
64,82
64,34
64,66
64,6
38,15
38,56
38,68
38,9
38,92
59,71
59,43
73,4
73,45
73,27
73,47
73,40
73,2
73,21
73,53
73,35
73,22
73,44
73,1
78,26
78,21
78,83
78,33
78,87
78,85
78,51
78,19
78,75
78,52
21,57
21,35
21,81
21,67
21,78
79,89
79,67
79,72
79,46
63,60
63,14
63,5
63,84
63,16
63,55
89,79
89,67
89,42
89,77
89,93
89,74
89,12
89,57
5,63
5,60
5,55
55,14
55,84
55,60
55,5
55,16
55,63
43,68
43,71
43,59
43,28
43,97
7,70
7,10
7,48
7,36
7,24
36,24
36,10
36,48
36,7
36,69
84,75
84,14
84,33
84,60
84,63
84,55
84,16
84,5
84,50
84,82
48,32
48,10
48,70
48,36
48,24
48,69
48,54
48,67
48,92
10,28
10,36
10,24
10,48
10,92
10,69
16,60
16,63
16,84
16,14
16,55
16,74
57,21
57,35
57,81
57,89
81,21
81,57
81,35
81,93
81,13
45,63
45,60
45,19
45,75
45,87
45,52
94,96
94,22
94,59
91,99
91,58
91,88
91,29
95,97
95,1
95,59
95,9
95,76
95,27
95,42
95,62
65,12
90,11
90,12
87,52
87,75
87,19
87,51
87,83
87,88
87,85
87,26
87,78
87,33
97,43
97,71
97,95
97,68
15,30
15,1
15,38
53,2
53,40
53,27
53,47
53,96
53,35
86,64
86,80
86,84
86,16
86,10
86,74
86,57
86,31
86,42
9,24
29,27
29,29
29,44
60,63
60,14
60,5
60,16
60,84
60,55
60,82
60,50
28,10
28,39
28,42
28,43
19,75
19,52
19,87
19,83
19,51
19,26
19,78
19,33
19,85
19,41
26,87
26,83
26,51
26,85
26,33
26,75
26,78
26,19
26,52
26,21
26,41
52,4
52,87
52,75
52,26
52,33
52,85
52,51
52,33
52,75
52,19
52,78
52,83
52,88
52,20
83,82
83,85
83,33
83,87
83,51
83,75
83,19
83,26
83,78
83,52
83,14
82,75
82,83
82,33
82,74
82,64
82,50
82,23
85,33
85,83
85,51
85,87
85,75
85,19
85,26
85,78
85,52
85,55
85,50
33,83
33,75
33,51
33,85
33,19
33,78
33,87
33,50
33,19
56,92
56,38
56,68
56,10
56,28
56,20
50,80
50,66
50,82
50,64
50,23
50,46
50,34
50,86
50,75
50,85
50,33
50,84
50,5
50,60
50,63
50,55
50,14
50,41
75,84
75,19
75,82
75,83
75,14
75,52
75,31
75,87
75,51
51,85
51,87
51,83
51,78
51,11
51,17
20,88
35,81
35,57
35,21
